Stock,yr,ct,bt
HKE_17_18,1998,629.2123989,21.11888112
HKE_17_18,1999,797.000305,24.8951049
HKE_17_18,2000,1011.653404,19.16083916
HKE_17_18,2001,1425.833112,17.48251748
HKE_17_18,2002,1009.061666,28.53146853
HKE_17_18,2003,763.0738777,25.31468531
HKE_17_18,2004,584.3024317,32.58741259
HKE_17_18,2005,693.6249716,44.47552448
HKE_17_18,2006,778.471934,44.05594406
HKE_17_18,2007,681.2657369,35.94405594
HKE_17_18,2008,705.98615,39.86013986
HKE_17_18,2009,1480.23931,33.00699301
HKE_17_18,2010,1514.553526,20.6993007
HKE_17_18,2011,1211.82084,18.32167832
HKE_17_18,2012,1532.298666,25.87412587
HKE_17_18,2013,1252.372117,28.95104895
HKE_17_18,2014,1147.504742,27.97202797
HKE_17_18,2015,1451.296296,19.58041958
HKE_17_18,2016,1686.098544,22.0979021
HKE_17_18,2017,1929.876249,36.92307692
HKE_17_18,2018,1805.102859,35.94405594
HKE_17_18,2019,1375.874122,34.96503497
HKE_17_18,2020,1578.980197,33.70629371
DPS_17_18_19,2002,2322,3.229665072
DPS_17_18_19,2003,3274,4.138755981
DPS_17_18_19,2004,3123,4.377990431
DPS_17_18_19,2005,2478,4.71291866
DPS_17_18_19,2006,2814,4.5215311
DPS_17_18_19,2007,1787,2.464114833
DPS_17_18_19,2008,1857,3.899521531
DPS_17_18_19,2009,2281,3.803827751
DPS_17_18_19,2010,2156,3.277511962
DPS_17_18_19,2011,1938,2.320574163
DPS_17_18_19,2012,2452,2.894736842
DPS_17_18_19,2013,2712,2.320574163
DPS_17_18_19,2014,3108,2.703349282
DPS_17_18_19,2015,3441,3.995215311
DPS_17_18_19,2016,4485,9.066985646
DPS_17_18_19,2017,4801,14.76076555
DPS_17_18_19,2018,6056,9.210526316
DPS_17_18_19,2019,5804,9.59
DPS_17_18_19,2020,5009,6.81
MUT_17_18,2006,7094,21.55963303
MUT_17_18,2007,7355,14.33486239
MUT_17_18,2008,6182,24.31192661
MUT_17_18,2009,5340,20.87155963
MUT_17_18,2010,3850,22.59174312
MUT_17_18,2011,4740,20.18348624
MUT_17_18,2012,6068,43.23394495
MUT_17_18,2013,5055,52.52293578
MUT_17_18,2014,5773,79.01376147
MUT_17_18,2015,6383,48.39449541
MUT_17_18,2016,5488,67.66055046
MUT_17_18,2017,5814,112.3853211
MUT_17_18,2018,6928,99.31192661
MUT_17_18,2019,4472,71.10091743
MUT_17_18,2020,3055,67.31651376
SOL_17,1958,1328.792,NA
SOL_17,1959,1424.481,NA
SOL_17,1960,1564.831,NA
SOL_17,1961,1964.935,NA
SOL_17,1962,2242.199,NA
SOL_17,1963,1820.903,NA
SOL_17,1964,1117.74,NA
SOL_17,1965,1125.345,NA
SOL_17,1966,1261.694,NA
SOL_17,1967,1399.095,NA
SOL_17,1968,1511.558,NA
SOL_17,1969,1144.361,NA
SOL_17,1970,1088.715,NA
SOL_17,1971,917.8169999,NA
SOL_17,1972,835.7489999,NA
SOL_17,1973,988,NA
SOL_17,1974,1140.07,NA
SOL_17,1975,1419,NA
SOL_17,1976,1739,NA
SOL_17,1977,1971,NA
SOL_17,1978,1681,NA
SOL_17,1979,2286,NA
SOL_17,1980,2199.664671,NA
SOL_17,1981,1105.21761,NA
SOL_17,1982,1193.840909,NA
SOL_17,1983,1625.842679,NA
SOL_17,1984,1393.628607,NA
SOL_17,1985,1522.563555,NA
SOL_17,1986,1566.760479,NA
