"years","quarter","fahs","gear"
2015,1,190633.882222222,"OTB"
2015,2,225883.860833333,"OTB"
2015,3,138076.766111111,"OTB"
2015,4,225500.457222222,"OTB"
2016,1,221483.510555556,"OTB"
2016,2,250722.324444444,"OTB"
2016,3,136838.200555556,"OTB"
2016,4,236310.887777778,"OTB"
2017,1,230193.107777778,"OTB"
2017,2,237620.139722222,"OTB"
2017,3,135699.1375,"OTB"
2017,4,191596.805833333,"OTB"
2018,1,184604.856388889,"OTB"
2018,2,202051.947777778,"OTB"
2018,3,118947.214444444,"OTB"
2018,4,205531.502777778,"OTB"
2019,1,182594.094722222,"OTB"
2019,2,209871.099166667,"OTB"
2019,3,138690.791944444,"OTB"
2019,4,205051.6375,"OTB"
2020,1,183781.821944444,"OTB"
2020,2,168721.502777778,"OTB"
2020,3,151030.441111111,"OTB"
2020,4,208461.613611111,"OTB"
2015,1,25435.2111111111,"PS"
2015,2,35503.9555555556,"PS"
2015,3,56172.1836111111,"PS"
2015,4,51156.7977777778,"PS"
2016,1,31426.5772222222,"PS"
2016,2,43008.3797222222,"PS"
2016,3,55951.4080555556,"PS"
2016,4,44971,"PS"
2017,1,35136.4025,"PS"
2017,2,33506.5455555556,"PS"
2017,3,35138.495,"PS"
2017,4,28553.2619444444,"PS"
2018,1,10808.8844444444,"PS"
2018,2,25181.4491666667,"PS"
2018,3,38546.0358333333,"PS"
2018,4,30031.0719444444,"PS"
2019,1,15065.6519444444,"PS"
2019,2,27872.4361111111,"PS"
2019,3,41021.1586111111,"PS"
2019,4,34627.5916666667,"PS"
2020,1,19499.9958333333,"PS"
2020,2,25016.32,"PS"
2020,3,40217.2925,"PS"
2020,4,32568.3625,"PS"
2015,1,9761.02611111111,"PTM"
2015,2,12981.9205555556,"PTM"
2015,3,4975.84805555556,"PTM"
2015,4,13675.7894444444,"PTM"
2016,1,10867.8097222222,"PTM"
2016,2,13275.4366666667,"PTM"
2016,3,4784.71555555556,"PTM"
2016,4,10781.1972222222,"PTM"
2017,1,10023.4877777778,"PTM"
2017,2,10169.9494444444,"PTM"
2017,3,5724.07861111111,"PTM"
2017,4,7289.14666666667,"PTM"
2018,1,7483.82611111111,"PTM"
2018,2,8705.53694444444,"PTM"
2018,3,4256.18277777778,"PTM"
2018,4,6810.10333333333,"PTM"
2019,1,8036.04388888889,"PTM"
2019,2,8192.49833333333,"PTM"
2019,3,6789.40416666667,"PTM"
2019,4,7149.09083333333,"PTM"
2020,1,6897.04444444444,"PTM"
2020,2,6225.54416666667,"PTM"
2020,3,8184.62166666667,"PTM"
2020,4,7047.65611111111,"PTM"
2015,1,30396.8169444445,"TBB"
2015,2,33227.3527777778,"TBB"
2015,3,13607.4477777778,"TBB"
2015,4,33362.0047222222,"TBB"
2016,1,34942.5,"TBB"
2016,2,36630.7441666667,"TBB"
2016,3,15016.8869444444,"TBB"
2016,4,34529.7944444444,"TBB"
2017,1,38846.7755555556,"TBB"
2017,2,39577.9444444444,"TBB"
2017,3,15539.5658333334,"TBB"
2017,4,25801.0008333333,"TBB"
2018,1,26315.4794444445,"TBB"
2018,2,25279.8547222222,"TBB"
2018,3,11373.0666666667,"TBB"
2018,4,25410.8327777778,"TBB"
2019,1,29125.7541666667,"TBB"
2019,2,27982.5297222222,"TBB"
2019,3,14635.2936111111,"TBB"
2019,4,28650.5180555556,"TBB"
2020,1,25692.8047222222,"TBB"
2020,2,19766.955,"TBB"
2020,3,13988.8330555556,"TBB"
2020,4,22128.4286111111,"TBB"
